        Frequency / THz                Eps'' (Fit)/real
----------------------------------------------------------------------
                     430                       1.1214554
                     430                       1.1214554
               430.34036                        1.121672
               430.68066                        1.121911
                 431.021                       1.1221722
               431.36136                       1.1224556
               431.70169                       1.1227612
               432.04202                       1.1230892
               432.38239                       1.1234393
               432.53796                       1.1236068
               432.72272                       1.1238116
               433.06305                       1.1242062
               433.40341                       1.1246229
               433.74374                        1.125062
               434.08408                       1.1255231
               434.42444                       1.1260065
               434.76477                       1.1265119
               435.09091                       1.1270171
                435.1051                       1.1270397
               435.44547                       1.1275895
               435.78577                       1.1281614
                436.1261                       1.1287556
               436.46646                       1.1293719
               436.80679                       1.1300104
               437.14713                       1.1306709
               437.48749                       1.1313535
               437.65894                       1.1317059
               437.82782                       1.1320584
               438.16815                       1.1327852
               438.50851                       1.1335342
               438.84885                       1.1343052
               439.18921                       1.1350985
               439.52954                       1.1359137
               439.86987                       1.1367511
               440.21024                       1.1376104
                440.2421                       1.1376921
               440.55057                       1.1384919
               440.89087                       1.1393954
                441.2312                       1.1403209
               441.57156                       1.1412685
                441.9119                       1.1422381
               442.25226                       1.1432297
               442.59259                       1.1442434
               442.84052                       1.1449957
               442.93292                        1.145279
               443.27328                       1.1463367
               443.61362                       1.1474164
               443.95395                       1.1485181
               444.29431                       1.1496416
               444.63464                       1.1507874
               444.97498                       1.1519549
               445.31534                       1.1531445
               445.45428                       1.1536365
               445.65567                        1.154356
               445.99597                       1.1555895
               446.33633                       1.1568449
               446.67667                       1.1581222
                 447.017                       1.1594214
               447.35736                       1.1607426
               447.69769                       1.1620858
               448.03802                       1.1634507
               448.08347                       1.1636345
               448.37839                       1.1648376
               448.71872                       1.1662464
               449.05905                       1.1676772
               449.39941                       1.1691297
               449.73975                       1.1706041
               450.08008                       1.1721004
               450.42044                       1.1736186
               450.72815                       1.1750101
               450.76077                       1.1751585
               451.10107                       1.1767204
               451.44144                       1.1783041
               451.78177                       1.1799096
                452.1221                       1.1815369
               452.46246                       1.1831861
                452.8028                       1.1848569
               453.14313                       1.1865497
               453.38849                       1.1877834
               453.48349                       1.1882641
               453.82382                       1.1900004
               454.16415                       1.1917585
               454.50452                       1.1935383
               454.84485                       1.1953399
               455.18518                       1.1971632
               455.52554                       1.1990082
               455.86588                        1.200875
               456.06448                       1.2019745
               456.20618                       1.2027636
               456.54654                       1.2046738
               456.88687                       1.2066057
                457.2272                       1.2085593
               457.56757                       1.2105346
                457.9079                       1.2125314
               458.24826                       1.2145501
               458.58859                       1.2165904
               458.75629                       1.2176038
               458.92892                       1.2186524
               459.26929                       1.2207359
               459.60962                       1.2228411
               459.94995                        1.224968
               460.29031                       1.2271163
               460.63065                       1.2292864
               460.97095                       1.2314781
               461.31131                       1.2336912
               461.46399                       1.2346911
               461.65164                        1.235926
               461.99197                       1.2381823
               462.33234                       1.2404603
               462.67267                       1.2427597
                 463.013                       1.2450806
               463.35336                       1.2474231
                463.6937                       1.2497871
               464.03403                       1.2521726
               464.18768                       1.2532564
               464.37439                       1.2545795
               464.71472                        1.257008
               465.05505                       1.2594578
               465.39542                       1.2619292
               465.73575                       1.2644219
               466.07605                       1.2669362
               466.41641                       1.2694719
               466.75674                       1.2720289
               466.92743                       1.2733192
               467.09708                       1.2746073
               467.43744                       1.2772071
               467.77777                       1.2798283
                468.1181                       1.2824709
               468.45847                       1.2851348
                468.7988                         1.28782
               469.13913                       1.2905265
               469.47949                       1.2932544
               469.68335                       1.2948986
               469.81982                       1.2960035
               470.16016                       1.2987739
               470.50052                       1.3015656
               470.84085                       1.3043785
               471.18115                       1.3072127
               471.52151                       1.3100681
               471.86185                       1.3129447
               472.20218                       1.3158425
               472.45554                       1.3180132
               472.54254                       1.3187615
               472.88287                       1.3217016
               473.22321                       1.3246629
               473.56357                       1.3276453
                473.9039                       1.3306489
               474.24423                       1.3336736
               474.58459                       1.3367193
               474.92493                       1.3397862
               475.24411                       1.3426813
               475.26529                       1.3428741
               475.60562                       1.3459829
               475.94595                       1.3491129
               476.28625                       1.3522639
               476.62662                       1.3554358
               476.96695                       1.3586289
               477.30731                       1.3618428
               477.64764                       1.3650776
               477.98798                       1.3683333
               478.04907                       1.3689202
               478.32834                         1.37161
               478.66867                       1.3749076
                 479.009                        1.378226
               479.34937                       1.3815655
                479.6897                       1.3849256
               480.03003                       1.3883065
               480.37039                       1.3917084
               480.71072                       1.3951309
               480.87067                       1.3967466
               481.05106                       1.3985742
               481.39139                       1.4020382
               481.73172                       1.4055231
               482.07205                       1.4090285
               482.41241                       1.4125547
               482.75275                       1.4161016
               483.09308                       1.4196692
               483.43344                       1.4232572
               483.70889                       1.4261763
               483.77377                       1.4268659
               484.11411                       1.4304953
               484.45447                       1.4341451
                484.7948                       1.4378155
               485.13513                       1.4415065
               485.47549                       1.4452178
               485.81583                       1.4489498
               486.15613                       1.4527022
               486.49649                        1.456475
               486.56384                       1.4572241
               486.83682                       1.4602681
               487.17715                       1.4640818
               487.51752                       1.4679158
               487.85785                         1.47177
               488.19818                       1.4756446
               488.53854                       1.4795395
               488.87888                       1.4834547
               489.21921                       1.4873902
               489.43567                       1.4899036
               489.55957                       1.4913458
                489.8999                       1.4953216
               490.24023                       1.4993176
                490.5806                       1.5033337
               490.92093                         1.50737
               491.26123                       1.5114263
               491.60159                       1.5155028
               491.94193                       1.5195993
               492.28226                       1.5237157
               492.32446                       1.5242273
               492.62262                       1.5278522
               492.96295                       1.5320086
               493.30328                        1.536185
               493.64365                       1.5403813
               493.98398                       1.5445975
               494.32434                       1.5488335
               494.66467                       1.5530893
                 495.005                       1.5573649
               495.23026                       1.5602058
               495.34537                       1.5616603
                495.6857                       1.5659754
               496.02603                       1.5703104
               496.36636                       1.5746648
                496.7067                        1.579039
               497.04703                       1.5834328
               497.38739                       1.5878462
               497.72772                       1.5922791
               498.06805                       1.5967315
               498.15326                        1.597849
               498.40842                       1.6012034
               498.74875                       1.6056949
               499.08908                       1.6102058
               499.42944                       1.6147361
               499.76978                       1.6192857
               500.11011                       1.6238546
               500.45047                       1.6284429
                500.7908                       1.6330504
               501.09348                       1.6371644
               501.13113                       1.6376772
               501.47147                       1.6423231
                501.8118                       1.6469883
               502.15213                       1.6516726
               502.49249                        1.656376
               502.83282                       1.6610985
               503.17316                       1.6658399
               503.51352                       1.6706004
               503.85385                       1.6753799
               504.05106                       1.6781578
               504.19418                       1.6801782
               504.53455                       1.6849954
               504.87488                       1.6898316
               505.21521                       1.6946865
               505.55557                       1.6995602
                505.8959                       1.7044526
               506.23624                       1.7093638
               506.57657                       1.7142936
                506.9169                       1.7192421
               507.02609                       1.7208334
               507.25723                       1.7242091
                507.5976                       1.7291946
               507.93793                       1.7341988
               508.27826                       1.7392213
               508.61862                       1.7442623
               508.95895                       1.7493218
               509.29929                       1.7543995
               509.63965                       1.7594956
               509.97998                       1.7646099
               510.01868                       1.7651927
               510.32034                       1.7697425
               510.66068                       1.7748933
               511.00101                       1.7800622
               511.34137                       1.7852491
               511.68167                       1.7904543
               512.02203                       1.7956773
               512.36237                       1.8009185
                512.7027                       1.8061774
               513.02893                       1.8112354
               513.04303                       1.8114543
               513.38336                       1.8167491
               513.72369                       1.8220617
               514.06409                        1.827392
               514.40442                       1.8327399
               514.74475                       1.8381057
               515.08508                       1.8434889
               515.42542                       1.8488898
               515.76575                       1.8543082
               516.05695                       1.8589584
               516.10614                       1.8597442
               516.44641                       1.8651975
               516.78674                       1.8706683
               517.12714                       1.8761564
               517.46747                       1.8816618
                517.8078                       1.8871844
               518.14813                       1.8927243
               518.48846                       1.8982812
                518.8288                       1.9038553
               519.10284                       1.9083561
               519.16919                       1.9094465
               519.50952                       1.9150547
               519.84985                       1.9206798
               520.19019                       1.9263217
               520.53052                       1.9319806
               520.87091                       1.9376563
               521.21124                       1.9433488
               521.55151                       1.9490579
               521.89185                       1.9547837
               522.16675                       1.9594198
               522.23224                       1.9605261
               522.57257                        1.966285
                522.9129                       1.9720604
               523.25323                       1.9778523
               523.59357                       1.9836606
               523.93396                       1.9894851
               524.27429                        1.995326
               524.61462                        2.001183
               524.95496                       2.0070565
               525.24872                       2.0121386
               525.29529                       2.0129459
               525.63562                       2.0188513
               525.97601                       2.0247726
               526.31635                       2.0307102
               526.65662                       2.0366635
               526.99701                       2.0426326
               527.33734                       2.0486176
               527.67767                       2.0546181
               528.01801                       2.0606344
               528.34888                       2.0664978
               528.35834                       2.0666664
               528.69867                       2.0727139
               529.03906                       2.0787768
               529.37939                       2.0848553
               529.71973                       2.0909491
               530.06006                       2.0970583
               530.40039                       2.1031826
               530.74072                       2.1093223
               531.08112                       2.1154768
               531.42145                       2.1216466
               531.46729                       2.1224797
               531.76172                       2.1278315
               532.10211                       2.1340313
               532.44244                       2.1402459
               532.78278                       2.1464756
               533.12311                       2.1527197
               533.46344                       2.1589787
               533.80377                       2.1652524
               534.14417                       2.1715407
                534.4845                       2.1778433
               534.60419                        2.180063
               534.82483                       2.1841605
               535.16516                       2.1904922
               535.50549                       2.1968381
               535.84583                       2.2031982
               536.18622                       2.2095728
               536.52655                       2.2159612
               536.86682                       2.2223639
               537.20721                       2.2287805
               537.54755                       2.2352111
               537.75952                       2.2392232
               537.88788                       2.2416553
               538.22821                       2.2481136
               538.56854                       2.2545857
               538.90894                       2.2610712
               539.24927                       2.2675705
                539.5896                       2.2740834
               539.92993                       2.2806096
               540.27026                       2.2871492
                540.6106                       2.2937024
               540.93353                        2.299932
               540.95099                       2.3002687
               541.29132                        2.306848
               541.63165                       2.3134406
               541.97198                       2.3200462
               542.31232                       2.3266649
               542.65265                       2.3332965
               542.99298                       2.3399408
               543.33331                       2.3465981
               543.67365                       2.3532679
               544.01404                       2.3599505
               544.12622                       2.3621569
               544.35437                       2.3666456
                544.6947                        2.373353
               545.03503                       2.3800731
               545.37537                       2.3868053
                545.7157                       2.3935499
               546.05609                       2.4003067
               546.39642                       2.4070756
               546.73669                       2.4138567
               547.07709                       2.4206495
               547.33783                       2.4258618
               547.41742                       2.4274545
               547.75775                       2.4342711
               548.09808                       2.4410996
               548.43842                       2.4479396
               548.77875                       2.4547913
               549.11914                       2.4616547
               549.45947                       2.4685292
                549.7998                       2.4754155
               550.14014                       2.4823127
               550.48047                       2.4892213
               550.56836                       2.4910069
                550.8208                       2.4961412
               551.16119                        2.503072
               551.50153                       2.5100138
                551.8418                       2.5169666
               552.18219                       2.5239301
               552.52252                       2.5309043
               552.86285                       2.5378892
               553.20319                       2.5448849
               553.54352                       2.5518911
               553.81793                       2.5575473
               553.88385                       2.5589075
               554.22424                       2.5659347
               554.56458                       2.5729718
               554.90491                       2.5800192
               555.24524                       2.5870767
               555.58557                       2.5941443
               555.92596                       2.6012218
                556.2663                       2.6083093
               556.60663                       2.6154065
                556.9469                       2.6225135
               557.08673                       2.6254349
               557.28729                       2.6296301
               557.62762                       2.6367562
               557.96796                       2.6438918
               558.30829                        2.651037
               558.64862                       2.6581912
               558.98901                       2.6653547
               559.32935                       2.6725276
               559.66968                       2.6797092
               560.01001                       2.6868999
               560.35034                       2.6940997
               560.37476                       2.6946166
               560.69067                        2.701308
               561.03107                       2.7085252
                561.3714                       2.7157512
               561.71173                       2.7229855
               562.05206                       2.7302284
                562.3924                       2.7374797
               562.73273                       2.7447391
               563.07312                        2.752007
               563.41339                       2.7592828
               563.68225                       2.7650359
               563.75378                       2.7665668
               564.09412                       2.7738588
               564.43439                       2.7811587
               564.77478                       2.7884662
               565.11511                       2.7957814
               565.45544                       2.8031044
               565.79578                       2.8104348
               566.13617                       2.8177729
               566.47644                       2.8251181
               566.81683                       2.8324707
               567.00922                       2.8366308
               567.15717                       2.8398304
                567.4975                       2.8471971
               567.83783                       2.8545711
               568.17822                       2.8619518
               568.51849                       2.8693392
               568.85889                       2.8767338
               569.19922                       2.8841348
               569.53949                       2.8915422
               569.87988                       2.8989563
               570.22021                       2.9063768
                570.3559                       2.9093361
               570.56055                       2.9138036
               570.90088                       2.9212365
               571.24127                       2.9286754
               571.58154                       2.9361207
               571.92194                       2.9435718
               572.26227                       2.9510286
                572.6026                       2.9584913
               572.94293                       2.9659598
               573.28333                       2.9734337
                573.6236                       2.9809132
               573.72229                       2.9830818
               573.96399                       2.9883981
               574.30432                       2.9958882
               574.64459                       3.0033836
               574.98499                        3.010884
               575.32532                       3.0183897
               575.66565                       3.0259004
               576.00598                       3.0334156
               576.34637                       3.0409358
               576.68665                       3.0484607
               577.02704                       3.0559902
               577.10852                       3.0577936
               577.36737                        3.063524
                577.7077                       3.0710626
               578.04803                       3.0786052
               578.38843                       3.0861521
                578.7287                        3.093703
               579.06909                        3.101258
               579.40942                       3.1088171
               579.74969                         3.11638
               580.09009                       3.1239467
               580.43042                       3.1315169
               580.51477                       3.1333933
               580.77075                        3.139091
               581.11108                       3.1466684
               581.45148                       3.1542492
               581.79175                       3.1618333
               582.13214                       3.1694205
               582.47247                        3.177011
               582.81281                       3.1846044
               583.15314                       3.1922007
               583.49353                          3.1998
                583.8338                        3.207402
               583.94104                       3.2097983
