        Frequency / THz                Eps' (Fit)/real
----------------------------------------------------------------------
                     430                      -15.762645
                     430                      -15.762645
               430.34036                       -15.72087
               430.68066                      -15.679184
                 431.021                      -15.637587
               431.36136                      -15.596076
               431.70169                      -15.554655
               432.04202                      -15.513321
               432.38239                      -15.472074
               432.53796                      -15.453247
               432.72272                      -15.430914
               433.06305                      -15.389842
               433.40341                      -15.348856
               433.74374                      -15.307957
               434.08408                      -15.267143
               434.42444                      -15.226416
               434.76477                      -15.185774
               435.09091                      -15.146908
                435.1051                      -15.145219
               435.44547                      -15.104748
               435.78577                      -15.064363
                436.1261                      -15.024061
               436.46646                      -14.983846
               436.80679                      -14.943714
               437.14713                      -14.903666
               437.48749                      -14.863703
               437.65894                      -14.843603
               437.82782                      -14.823823
               438.16815                      -14.784027
               438.50851                      -14.744313
               438.84885                      -14.704683
               439.18921                      -14.665136
               439.52954                      -14.625672
               439.86987                       -14.58629
               440.21024                       -14.54699
                440.2421                      -14.543312
               440.55057                      -14.507772
               440.89087                      -14.468637
                441.2312                      -14.429583
               441.57156                       -14.39061
                441.9119                      -14.351718
               442.25226                      -14.312907
               442.59259                      -14.274178
               442.84052                      -14.246014
               442.93292                      -14.235528
               443.27328                      -14.196959
               443.61362                      -14.158469
               443.95395                      -14.120061
               444.29431                      -14.081732
               444.63464                      -14.043482
               444.97498                      -14.005312
               445.31534                       -13.96722
               445.45428                       -13.95169
               445.65567                      -13.929209
               445.99597                      -13.891275
               446.33633                       -13.85342
               446.67667                      -13.815644
                 447.017                      -13.777946
               447.35736                      -13.740326
               447.69769                      -13.702784
               448.03802                      -13.665319
               448.08347                      -13.660324
               448.37839                      -13.627933
               448.71872                      -13.590623
               449.05905                       -13.55339
               449.39941                      -13.516234
               449.73975                      -13.479156
               450.08008                      -13.442153
               450.42044                      -13.405227
               450.72815                      -13.371902
               450.76077                      -13.368377
               451.10107                      -13.331603
               451.44144                      -13.294906
               451.78177                      -13.258283
                452.1221                      -13.221736
               452.46246                      -13.185265
                452.8028                      -13.148869
               453.14313                      -13.112547
               453.38849                      -13.086411
               453.48349                      -13.076301
               453.82382                      -13.040129
               454.16415                      -13.004032
               454.50452                      -12.968009
               454.84485                       -12.93206
               455.18518                      -12.896185
               455.52554                      -12.860384
               455.86588                      -12.824656
               456.06448                       -12.80384
               456.20618                      -12.789003
               456.54654                      -12.753423
               456.88687                      -12.717916
                457.2272                      -12.682481
               457.56757                       -12.64712
                457.9079                      -12.611831
               458.24826                      -12.576614
               458.58859                      -12.541471
               458.75629                      -12.524179
               458.92892                      -12.506399
               459.26929                        -12.4714
               459.60962                      -12.436473
               459.94995                      -12.401617
               460.29031                      -12.366833
               460.63065                      -12.332121
               460.97095                       -12.29748
               461.31131                      -12.262909
               461.46399                      -12.247423
               461.65164                      -12.228411
               461.99197                      -12.193982
               462.33234                      -12.159625
               462.67267                      -12.125339
                 463.013                      -12.091123
               463.35336                      -12.056976
                463.6937                      -12.022901
               464.03403                      -11.988895
               464.18768                      -11.973567
               464.37439                      -11.954959
               464.71472                      -11.921093
               465.05505                      -11.887297
               465.39542                       -11.85357
               465.73575                      -11.819913
               466.07605                      -11.786325
               466.41641                      -11.752806
               466.75674                      -11.719356
               466.92743                      -11.702607
               467.09708                      -11.685974
               467.43744                      -11.652661
               467.77777                      -11.619417
                468.1181                      -11.586242
               468.45847                      -11.553134
                468.7988                      -11.520095
               469.13913                      -11.487124
               469.47949                      -11.454221
               469.68335                      -11.434545
               469.81982                      -11.421386
               470.16016                      -11.388618
               470.50052                      -11.355918
               470.84085                      -11.323285
               471.18115                       -11.29072
               471.52151                      -11.258222
               471.86185                       -11.22579
               472.20218                      -11.193426
               472.45554                      -11.169379
               472.54254                      -11.161129
               472.88287                      -11.128899
               473.22321                      -11.096734
               473.56357                      -11.064636
                473.9039                      -11.032605
               474.24423                       -11.00064
               474.58459                      -10.968741
               474.92493                      -10.936909
               475.24411                      -10.907116
               475.26529                      -10.905141
               475.60562                       -10.87344
               475.94595                      -10.841805
               476.28625                      -10.810235
               476.62662                       -10.77873
               476.96695                      -10.747291
               477.30731                      -10.715917
               477.64764                      -10.684608
               477.98798                      -10.653364
               478.04907                      -10.647761
               478.32834                      -10.622186
               478.66867                      -10.591071
                 479.009                      -10.560022
               479.34937                      -10.529037
                479.6897                      -10.498116
               480.03003                      -10.467261
               480.37039                      -10.436469
               480.71072                      -10.405742
               480.87067                      -10.391323
               481.05106                      -10.375079
               481.39139                       -10.34448
               481.73172                      -10.313944
